"Gene_symbol","PC_Direction","NASH_Direction"
"PIK3AP1","up","down"
"PINLYP","down","up"
"PJA1","down","up"
"PKNOX2","down","up"
"PLA2G15","up","down"
"PLAC9","down","up"
"PLCD4","down","up"
"PLEKHG4B","down","up"
"PLIN4","down","up"
"PLK2","down","up"
"PLP2","down","up"
"PLPPR1","up","down"
"PMPCA","up","down"
"PNPO","up","down"
"PODN","down","up"
"POLR1B","up","down"
"POLR3B","up","down"
"POLR3GL","down","up"
"POM121","up","down"
"POM121C","up","down"
"POM121L9P","down","up"
"POTEC","down","up"
"POTEI","down","up"
"PPARD","down","up"
"PPFIA2","up","down"
"PPIC","down","up"
"PPM1E","up","down"
"PPP1R12A","down","up"
"PPP1R26","up","down"
"PPP1R3B","down","up"
"PRDM10","up","down"
"PRDM5","down","up"
"PRKAA1","up","down"
"PRKCE","down","up"
"PRKDC","up","down"
"PRLR","up","down"
"PRNP","down","up"
"PROX1","up","down"
"PRRT2","down","up"
"PRSS53","down","up"
"PSAT1","up","down"
"PSIP1","down","up"
"PSMD11","up","down"
"PTCHD1","down","up"
"PTDSS1","up","down"
"PTGDS","down","up"
"PTPN18","up","down"
"PTPRJ","up","down"
"PTPRK","up","down"
"PTPRN2","up","down"
"PTPRT","up","down"
"PXDN","up","down"
"RAB11FIP3","up","down"
"RAB11FIP4","up","down"
"RAB32","down","up"
"RAB3D","up","down"
"RAB7B","down","up"
"RALGAPA2","up","down"
"RANBP10","up","down"
"RANBP17","up","down"
"RANBP2","up","down"
"RAP1GAP2","up","down"
"RAP2C-AS1","down","up"
"RAPGEF2","up","down"
"RAPGEF3","up","down"
"RASL11B","down","up"
"RASL12","down","up"
"RBFOX3","down","up"
"REEP2","down","up"
"RELL1","up","down"
"RELN","up","down"
"RERE","up","down"
"RFX3","up","down"
"RGCC","down","up"
"RGL2","up","down"
"RGMA","down","up"
"RGS11","up","down"
"RGS9","down","up"
"RGSL1","down","up"
"RHBDD1","down","up"
"RHCG","down","up"
"RHOQ","down","up"
"RIC3","down","up"
"RIMBP2","up","down"
"RIN1","down","up"
"RN7SL1","down","up"
"RNASE4","down","up"
"RNASEH2B","down","up"
"RNF103","up","down"
"RNF112","down","up"
"RNF144A","up","down"
"RNF165","down","up"
"RNF207","down","up"
"RNF44","up","down"
"ROBO1","down","up"
"RPH3AL","up","down"
"RPL23","up","down"
"RPL39L","down","up"
"RPS28","up","down"
"RPS6KA5","down","up"
"RPUSD4","up","down"
"RTN4RL2","up","down"
"RTP4","down","up"
"S100A14","down","up"
"S100A16","down","up"
"S100A4","down","up"
"S100A6","down","up"
"S1PR2","down","up"
"SAE1","down","up"
"SAMD11","down","up"
"SAMMSON","down","up"
"SBNO2","up","down"
"SBSPON","down","up"
"SCHIP1","down","up"
"SCN1B","up","down"
"SCPEP1","down","up"
"SCRG1","down","up"
"SCUBE3","down","up"
"SDK1","up","down"
"SEC14L1","up","down"
"SEC14L6","down","up"
"SEC31B","up","down"
"SEH1L","up","down"
"SEL1L","up","down"
"SEL1L3","up","down"
"SELENON","up","down"
"SELENOW","down","up"
"SEMA4B","up","down"
"SERBP1","up","down"
"SERPINB1","down","up"
"SERPINE2","down","up"
"SERPINF1","down","up"
"SFXN2","up","down"
"SGCB","down","up"
"SGCE","down","up"
"SGMS2","up","down"
"SH2D3A","down","up"
"SH2D4A","up","down"
"SIGLEC7","up","down"
"SIGLEC9","up","down"
"SIK1","down","up"
"SIPA1L1","up","down"
"SIPA1L3","up","down"
"SLC10A7","up","down"
"SLC12A4","down","up"
"SLC12A7","up","down"
"SLC16A1","up","down"
"SLC16A13","down","up"
"SLC16A14","down","up"
"SLC19A2","up","down"
"SLC22A10","up","down"
"SLC22A15","down","up"
"SLC22A23","up","down"
"SLC25A13","up","down"
"SLC25A15","up","down"
"SLC25A22","up","down"
