"Gene_symbol","PC_Direction","NAFLD_Direction"
"PCDHGA9","up","down"
"PCDHGB2","up","down"
"PCDHGB5","up","down"
"PCDHGB6","up","down"
"PCDHGC3","down","up"
"PCED1A","up","down"
"PCGF3","up","down"
"PCNT","up","down"
"PCNX3","up","down"
"PCSK5","down","up"
"PCSK7","down","up"
"PCYT1B","down","up"
"PDCD11","up","down"
"PDE11A","down","up"
"PDLIM5","up","down"
"PDS5A","up","down"
"PEG10","down","up"
"PELO","down","up"
"PFAS","up","down"
"PFKL","up","down"
"PGRMC1","down","up"
"PHF12","up","down"
"PHF2","up","down"
"PHF6","up","down"
"PHKA1","up","down"
"PHLDA3","down","up"
"PIEZO1","up","down"
"PIGR","up","down"
"PINLYP","down","up"
"PLA2G15","up","down"
"PLEKHB2","up","down"
"PLIN4","down","up"
"PLP2","down","up"
"PLXNA4","up","down"
"PMPCA","up","down"
"PNPO","up","down"
"POLR3B","up","down"
"POLR3GL","down","up"
"POM121","up","down"
"POM121C","up","down"
"POTEC","down","up"
"PPIC","down","up"
"PPP1R12A","down","up"
"PPP1R3B","down","up"
"PPP1R3C","down","up"
"PPP1R7","down","up"
"PRDM10","up","down"
"PRKAA1","up","down"
"PRKCE","down","up"
"PRKDC","up","down"
"PRLR","up","down"
"PROSER2-AS1","down","up"
"PROX1","up","down"
"PRRT2","down","up"
"PRSS53","down","up"
"PSIP1","down","up"
"PSMD11","up","down"
"PTAR1","up","down"
"PTCHD1","down","up"
"PTDSS1","up","down"
"PTGER4","up","down"
"PTGS1","up","down"
"PTPN18","up","down"
"PTPRJ","up","down"
"PTPRK","up","down"
"PTPRN2","up","down"
"PTPRT","up","down"
"PXDN","up","down"
"PXK","down","up"
"PYGB","down","up"
"RAB11FIP4","up","down"
"RAB32","down","up"
"RAB3D","up","down"
"RAB7B","down","up"
"RALGAPA2","up","down"
"RANBP2","up","down"
"RAP1GAP2","up","down"
"RAPGEF2","up","down"
"RASL12","down","up"
"RBBP8","down","up"
"RBFOX3","down","up"
"RBM33","up","down"
"RCC2","up","down"
"REEP2","down","up"
"RELL1","up","down"
"RELN","up","down"
"RERE","up","down"
"RFX3","up","down"
"RGS11","up","down"
"RGSL1","down","up"
"RIC3","down","up"
"RIMBP2","up","down"
"RN7SL1","down","up"
"RNASE4","down","up"
"RNASEH2B","down","up"
"RNF144A","up","down"
"RNF165","down","up"
"RNF170","down","up"
"RNF44","up","down"
"ROPN1L","up","down"
"RPH3AL","up","down"
"RPL39L","down","up"
"RPS28","up","down"
"RPS6KA5","down","up"
"RPUSD4","up","down"
"RTN4RL2","up","down"
"RTP4","down","up"
"S100A1","up","down"
"S100A14","down","up"
"S100A16","down","up"
"S100A4","down","up"
"S100A6","down","up"
"S1PR2","down","up"
"SAE1","down","up"
"SAMMSON","down","up"
"SBNO2","up","down"
"SBSPON","down","up"
"SCHIP1","down","up"
"SCN1B","up","down"
"SCRG1","down","up"
"SCUBE3","down","up"
"SDK1","up","down"
"SEC14L1","up","down"
"SEH1L","up","down"
"SEL1L","up","down"
"SEL1L3","up","down"
"SELENON","up","down"
"SELENOW","down","up"
"SERHL2","up","down"
"SERP2","down","up"
"SERPINF1","down","up"
"SEZ6L","up","down"
"SFTPD","down","up"
"SFXN2","up","down"
"SGCB","down","up"
"SGMS2","up","down"
"SH2D3A","down","up"
"SIGLEC7","up","down"
"SIGLEC9","up","down"
"SIPA1L1","up","down"
"SIPA1L3","up","down"
"SLC10A7","up","down"
"SLC12A4","down","up"
"SLC12A5","up","down"
"SLC16A1","up","down"
"SLC16A13","down","up"
"SLC22A10","up","down"
"SLC22A23","up","down"
"SLC22A3","down","up"
"SLC25A40","up","down"
"SLC29A4","down","up"
"SLC2A5","down","up"
"SLC35F1","down","up"
"SLC39A6","up","down"
"SLC3A2","down","up"
"SLC43A2","up","down"
"SLC46A1","up","down"
"SLC6A1","up","down"
"SLC6A2","down","up"
"SLCO1A2","up","down"
"SLIT1","up","down"
"SMAP2","up","down"
"SMCR8","up","down"
"SNAP25","down","up"
"SNAPC1","down","up"
"SNAPC4","up","down"
"SNHG16","up","down"
"SNX30","up","down"
"SNX7","down","up"
"SOWAHD","up","down"
"SP100","down","up"
"SPAG4","down","up"
"SPATA18","down","up"
"SPATA6L","down","up"
"SPIB","down","up"
"SPIRE1","up","down"
"SPTBN2","up","down"
"SPTLC2","up","down"
"SPTLC3","down","up"
"SQLE","down","up"
"SRD5A1","up","down"
"SRD5A2","down","up"
"SRM","up","down"
"ST8SIA1","down","up"
"STAB1","up","down"
"STAG3L5P","down","up"
"STK35","up","down"
"STK38","down","up"
"STPG1","down","up"
"STRIP2","down","up"
"STRN","up","down"
"STT3A","up","down"
"STXBP2","up","down"
"SUCNR1","up","down"
"SUSD1","up","down"
"SUSD4","down","up"
"SUSD6","up","down"
"SYS1","down","up"
"SYT7","down","up"
"SYT9","down","up"
"SYTL4","down","up"
"TANC1","up","down"
"TANC2","up","down"
"TAX1BP3","down","up"
"TBC1D16","up","down"
"TBC1D9B","up","down"
"TBCD","up","down"
"TBXAS1","up","down"
"TCEAL4","down","up"
"TCF3","up","down"
"TENM1","down","up"
"TESK2","up","down"
"TGFBRAP1","up","down"
"TIAF1","down","up"
"TJP1","up","down"
"TKFC","up","down"
"TM4SF18","up","down"
"TMBIM1","down","up"
"TMEM116","down","up"
"TMEM131","up","down"
"TMEM132A","up","down"
"TMEM14C","down","up"
"TMEM200B","down","up"
"TMEM204","up","down"
"TMEM238","up","down"
"TMEM241","up","down"
"TMEM248","up","down"
"TMEM26","up","down"
"TMEM38B","down","up"
"TMEM52","up","down"
"TMEM86A","up","down"
"TMOD3","up","down"
"TNC","down","up"
"TNFAIP2","up","down"
"TNFAIP8L1","down","up"
"TNFRSF11A","up","down"
"TNFRSF25","down","up"
"TNN","up","down"
"TOP2B","up","down"
"TOP3A","up","down"
"TP53","up","down"
"TPM3","up","down"
"TPP2","up","down"
"TPR","up","down"
"TPTEP1","down","up"
"TRAM2","up","down"
"TRAP1","up","down"
"TRIM22","down","up"
"TRIM3","up","down"
"TRIM7","down","up"
"TRIT1","up","down"
"TRPM7","up","down"
"TRRAP","up","down"
"TSPAN13","up","down"
"TSPAN14","up","down"
"TTI1","up","down"
"TUBA3FP","down","up"
"TUSC1","up","down"
"TWIST1","up","down"
"TXNDC16","up","down"
"UBE2E2","up","down"
"UBE2Q2P1","down","up"
"UBXN10","down","up"
"UGGT1","up","down"
"UGT1A3","up","down"
"UQCRC1","up","down"
"USF3","up","down"
"USP22","up","down"
"USP34","up","down"
"USP6NL","up","down"
"USP7","up","down"
"UTP15","up","down"
"UTRN","up","down"
"UVSSA","up","down"
"VANGL1","up","down"
"VASH1","up","down"
"VGLL3","down","up"
"VPS13A","up","down"
"WASL","up","down"
"WBP4","down","up"
"WNT2B","down","up"
"WNT4","down","up"
"WNT9B","down","up"
"XAF1","down","up"
"XKR4","down","up"
"XPNPEP3","up","down"
"XYLB","up","down"
"YTHDF1","up","down"
"YWHAE","up","down"
"ZBTB10","up","down"
"ZBTB20","down","up"
"ZC3H11A","up","down"
"ZDHHC11","up","down"
"ZDHHC15","down","up"
"ZDHHC2","down","up"
"ZFAS1","up","down"
"ZFP91","up","down"
"ZMPSTE24","up","down"
"ZNF10","down","up"
"ZNF217","up","down"
"ZNF230","down","up"
"ZNF257","down","up"
"ZNF273","down","up"
"ZNF275","up","down"
"ZNF283","down","up"
"ZNF333","down","up"
"ZNF385B","up","down"
"ZNF385D","down","up"
"ZNF425","down","up"
"ZNF430","down","up"
"ZNF454","down","up"
"ZNF467","up","down"
"ZNF483","down","up"
"ZNF492","down","up"
"ZNF622","up","down"
"ZNF765","down","up"
"ZNF770","up","down"
"ZNF789","down","up"
