"Gene_symbol","PC_Direction","ALDhep_Direction"
"FER","down","up"
"FER1L4","down","up"
"FGD5","down","up"
"FGD6","down","up"
"FGF11","down","up"
"FGF17","down","up"
"FGF2","down","up"
"FGF7","down","up"
"FGFR1","down","up"
"FGFR2","down","up"
"FGFRL1","up","down"
"FGL1","up","down"
"FH","up","down"
"FHDC1","down","up"
"FHL2","down","up"
"FHOD3","down","up"
"FILIP1","down","up"
"FILIP1L","down","up"
"FKBP3","up","down"
"FKBP4","up","down"
"FLAD1","up","down"
"FLNA","down","up"
"FLNC","down","up"
"FLRT2","down","up"
"FLT4","down","up"
"FMC1","up","down"
"FMO5","up","down"
"FNBP1","down","up"
"FNIP2","up","down"
"FOLH1","up","down"
"FOLR1","down","up"
"FOXA1","up","down"
"FOXC1","down","up"
"FOXF1","down","up"
"FOXF2","down","up"
"FOXN3-AS1","up","down"
"FOXP4-AS1","up","down"
"FOXQ1","down","up"
"FOXRED1","up","down"
"FOXRED2","up","down"
"FRMD3","down","up"
"FRMD5","down","up"
"FRMD6","down","up"
"FST","down","up"
"FTCDNL1","up","down"
"FTL","up","down"
"FUCA2","up","down"
"FUT2","down","up"
"FUT3","down","up"
"FXYD2","down","up"
"FXYD3","down","up"
"FZD1","down","up"
"FZD10-AS1","down","up"
"FZD3","down","up"
"G0S2","down","up"
"G3BP1","up","down"
"G3BP2","up","down"
"GAB1","down","up"
"GABBR1","down","up"
"GABRB2","down","up"
"GABRE","down","up"
"GABRP","down","up"
"GADD45A","up","down"
"GADD45G","up","down"
"GALNT16","down","up"
"GALNT5","down","up"
"GALNT6","down","up"
"GANAB","up","down"
"GAPDH","up","down"
"GAS1","down","up"
"GAS1RR","down","up"
"GAS2","up","down"
"GAS6","down","up"
"GAS7","down","up"
"GATA3","down","up"
"GATA6","down","up"
"GBE1","up","down"
"GBGT1","down","up"
"GBP2","down","up"
"GCAT","up","down"
"GCFC2","up","down"
"GCH1","up","down"
"GCNT4","down","up"
"GCSAML","down","up"
"GCSH","up","down"
"GDE1","up","down"
"GDI2","up","down"
"GFER","up","down"
"GFM2","up","down"
"GFOD2","up","down"
"GFPT2","down","up"
"GGCT","up","down"
"GGT1","up","down"
"GGT6","down","up"
"GHR","up","down"
"GIPR","down","up"
"GJA1","down","up"
"GJA5","down","up"
"GJB1","up","down"
"GJB2","up","down"
"GJB4","down","up"
"GJC1","down","up"
"GJC2","down","up"
"GLDC","up","down"
"GLDN","down","up"
"GLI2","down","up"
"GLI3","down","up"
"GLIPR2","down","up"
"GLIS2","down","up"
"GLIS3","down","up"
"GLO1","up","down"
"GLOD5","up","down"
"GLRX","up","down"
"GLUL","up","down"
"GLYATL1","up","down"
"GLYCTK","up","down"
"GMNC","up","down"
"GMPPB","up","down"
"GNAI1","up","down"
"GNAL","down","up"
"GNAZ","down","up"
"GNB3","down","up"
"GNE","up","down"
"GNG11","down","up"
"GNG2","down","up"
"GNG5","up","down"
"GNPAT","up","down"
"GNPNAT1","up","down"
"GNRH1","down","up"
"GOLGA5","up","down"
"GOLGA6L17P","down","up"
"GPAT4","up","down"
"GPATCH4","up","down"
"GPATCH8","down","up"
"GPD1L","down","up"
"GPI","up","down"
"GPR135","down","up"
"GPR161","down","up"
"GPR173","down","up"
"GPR88","up","down"
"GPRASP1","down","up"
"GPRC5B","down","up"
"GPRC5D","up","down"
"GPS1","up","down"
"GPX3","down","up"
"GPX8","down","up"
"GRAP2","down","up"
"GRAPL","down","up"
"GRB14","up","down"
"GRID1","down","up"
"GRIN2A","down","up"
"GRIN3A","up","down"
"GRK5","down","up"
"GRPEL1","up","down"
"GRSF1","up","down"
"GS1-124K5.4","up","down"
"GSKIP","up","down"
"GSN","down","up"
"GSN-AS1","down","up"
"GSPT1","up","down"
"GSTM2","down","up"
"GSTP1","down","up"
"GTF2A2","up","down"
"GTF3A","up","down"
"GTPBP10","up","down"
"GTPBP2","down","up"
"GTPBP6","up","down"
"GUF1","up","down"
"GUK1","up","down"
"GUSB","up","down"
"GXYLT1","up","down"
"GYPC","down","up"
"HABP2","up","down"
"HACD1","down","up"
"HACD4","down","up"
"HADH","up","down"
"HADHB","up","down"
"HAND2","down","up"
"HAND2-AS1","down","up"
"HAT1","up","down"
"HCAR2","down","up"
"HCN4","down","up"
"HDAC3","up","down"
"HDDC3","up","down"
"HDGF","up","down"
"HDLBP","up","down"
"HEBP2","up","down"
"HECTD2","down","up"
"HECW1","down","up"
"HEPH","down","up"
"HESX1","up","down"
"HEY2","up","down"
"HGH1","up","down"
"HHIP-AS1","down","up"
"HIC1","down","up"
"HIF3A","down","up"
"HINT1","up","down"
"HIPK2","up","down"
"HIRA","up","down"
"HK1","down","up"
"HK3","up","down"
"HLA-A","down","up"
"HLA-DPB1","down","up"
"HLTF","up","down"
"HMGN4","down","up"
"HMMR","up","down"
"HMOX1","up","down"
"HMOX2","up","down"
"HNF4G","up","down"
"HNMT","up","down"
"HNRNPA1L2","down","up"
"HNRNPF","up","down"
"HOOK1","up","down"
"HOXB-AS1","down","up"
"HOXB2","down","up"
"HOXB3","down","up"
"HOXB4","down","up"
"HP","up","down"
"HPCAL1","up","down"
"HPF1","up","down"
"HPGDS","down","up"
"HPN","up","down"
"HPX","up","down"
"HRC","down","up"
"HS2ST1","up","down"
"HSBP1","up","down"
"HSD17B10","up","down"
"HSD17B11","up","down"
"HSD17B4","up","down"
"HSD3B7","up","down"
"HSP90B1","up","down"
"HSPA5","up","down"
"HSPA9","up","down"
"HSPB6","down","up"
"HSPB7","down","up"
"HSPB8","down","up"
"HSPD1","up","down"
"HSPE1","up","down"
"HSPG2","down","up"
"HTRA2","up","down"
"HYMAI","down","up"
"HYOU1","up","down"
"IARS2","up","down"
"IBTK","up","down"
"ICA1L","down","up"
"ICAM3","up","down"
"ID4","down","up"
"IFI27L2","down","up"
"IFNAR1","up","down"
"IFRD2","up","down"
"IFT81","down","up"
"IGDCC4","down","up"
"IGFBP5","down","up"
"IGSF8","up","down"
"IHH","up","down"
"IL13RA1","up","down"
"IL17RB","up","down"
"IL17RE","down","up"
"IL1RL1","down","up"
"IL1RN","up","down"
"IL6","down","up"
"IMMT","up","down"
"IMP4","up","down"
"INF2","down","up"
"INMT","down","up"
"INPP5D","down","up"
"INPP5F","down","up"
"INTS12","up","down"
"INTS5","up","down"
"INTS6L","down","up"
"INTU","down","up"
"IPO4","up","down"
"IQCA1","down","up"
"IQGAP2","up","down"
"IQSEC2","down","up"
"IRAK3","down","up"
"IRF7","up","down"
"ISYNA1","down","up"
"ITGA2","down","up"
"ITGA3","down","up"
"ITGA8","down","up"
"ITGA9","down","up"
"ITGB4","down","up"
"ITGB6","down","up"
"ITGB8","down","up"
"ITIH2","up","down"
"ITIH3","up","down"
"ITIH5","down","up"
"ITM2A","down","up"
"ITPR2","up","down"
"ITPRIPL1","down","up"
"IVD","up","down"
"JAG2","down","up"
"JAM3","down","up"
"KBTBD11-OT1","down","up"
"KCNC4","down","up"
"KCNJ10","up","down"
"KCNJ15","down","up"
"KCNJ2","down","up"
"KCNMB1","down","up"
"KCNN2","up","down"
"KCNN3","down","up"
"KCNQ5","down","up"
"KCNS2","down","up"
"KCTD1","down","up"
"KCTD17","down","up"
"KCTD7","down","up"
"KDELR2","up","down"
"KEAP1","up","down"
"KHDRBS3","up","down"
"KIAA0319","down","up"
"KIAA0408","down","up"
"KIAA0513","down","up"
"KIAA1328","down","up"
"KIAA1549L","down","up"
"KIAA1614","down","up"
"KIAA1958","up","down"
"KIF16B","up","down"
"KIF22","up","down"
"KIF26B","down","up"
"KIF3C","down","up"
"KIFC3","down","up"
"KIT","down","up"
"KITLG","down","up"
"KLF4","down","up"
"KLF5","down","up"
"KLF7","down","up"
"KLF8","down","up"
"KLHL29","down","up"
"KLHL3","down","up"
"KLHL5","down","up"
"KLHL8","up","down"
"KLK10","down","up"
"KNDC1","down","up"
"KNL1","up","down"
"KNSTRN","up","down"
"KRR1","up","down"
"KRT15","down","up"
"KRT17","down","up"
"KRT19","down","up"
"KRT23","down","up"
"KRT7","down","up"
"KSR1","down","up"
"KY","down","up"
"L3MBTL3","up","down"
"LACTB","up","down"
"LACTB2","up","down"
"LAMA4","down","up"
"LAMB1","down","up"
"LAMB3","down","up"
"LAMTOR2","up","down"
"LAMTOR4","up","down"
"LAMTOR5","up","down"
"LAP3","up","down"
"LARGE2","up","down"
"LARP1B","up","down"
"LARS2","up","down"
"LAYN","down","up"
"LCA5","down","up"
"LDB2","down","up"
"LDHA","up","down"
"LDHB","down","up"
"LDLRAD1","down","up"
"LEAP2","up","down"
"LEO1","up","down"
"LETM1","up","down"
"LGALS1","down","up"
"LGALS3","down","up"
"LGALS3BP","down","up"
"LHFPL2","down","up"
"LILRA1","up","down"
"LILRA2","up","down"
"LIMK2","down","up"
"LINC00092","down","up"
"LINC00313","down","up"
"LINC00324","up","down"
"LINC00654","down","up"
"LINC00865","down","up"
"LINC00937","down","up"
"LINC00954","down","up"
"LINC00987","down","up"
"LINC01003","up","down"
"LINC01128","up","down"
"LINC01144","up","down"
"LINC01152","down","up"
"LINC01504","down","up"
"LINC01550","down","up"
"LITAF","down","up"
"LMAN1","up","down"
"LMCD1","down","up"
"LMO2","down","up"
"LMO7-AS1","down","up"
"LMOD1","down","up"
"LOC100129534","down","up"
"LOC100131315","up","down"
"LOC100505501","up","down"
"LOC100507156","down","up"
"LOC101927708","down","up"
"LOC101927851","up","down"
"LOC101930085","up","down"
"LOC102724908","down","up"
"LOC103171574","down","up"
"LOC105371267","down","up"
"LOC105371730","up","down"
"LOC154761","down","up"
"LOC158434","down","up"
"LOC283299","down","up"
"LOC374443","down","up"
"LOC440300","down","up"
"LOC729732","down","up"
"LOC730101","up","down"
"LOXL2","down","up"
"LPAR1","down","up"
"LPCAT4","down","up"
"LRCH2","down","up"
"LRP5","up","down"
"LRP8","down","up"
"LRPPRC","up","down"
"LRRC40","up","down"
"LRRC45","up","down"
"LRRC59","up","down"
"LRRC8D","up","down"
"LRWD1","up","down"
"LSAMP","down","up"
"LSM3","up","down"
"LSM4","up","down"
"LSM5","up","down"
"LSM7","up","down"
"LSM8","up","down"
"LSR","up","down"
"LTBP4","down","up"
"LY6E","up","down"
"LY75","down","up"
"LYPLA1","up","down"
"LZTS2","down","up"
"MAB21L3","down","up"
"MACROD1","up","down"
"MAD2L1","up","down"
"MAGED1","up","down"
"MAGEE1","down","up"
